昵称,1位,2位,3位,4位,击飞,1位率,2位率,3位率,4位率,击飞率,累计pt,场均收支pt,平顺,场数,
568998,1,0,2,2,0,20.00%,0.00%,40.00%,40.00%,0.00%,-45.2,-9.04,3.0000,5,
灵灵九,2,0,1,0,0,66.67%,0.00%,33.33%,0.00%,0.00%,57.800000000000004,19.27,1.6667,3,
花花打麻将,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,19.8,19.80,2.0000,1,
WoZai,0,0,1,0,0,0.00%,0.00%,100.00%,0.00%,0.00%,-9.9,-9.90,3.0000,1,
凛波暖阳,0,0,0,2,1,0.00%,0.00%,0.00%,100.00%,50.00%,-76.8,-38.40,4.0000,2,
力气大的剑豪,2,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,62.3,31.15,1.0000,2,
筱殇,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,2.2,2.20,2.0000,1,
TheCutePoro,0,0,3,0,0,0.00%,0.00%,100.00%,0.00%,0.00%,-26,-8.67,3.0000,3,
萍馨蕊,3,1,2,0,0,50.00%,16.67%,33.33%,0.00%,0.00%,92.10000000000001,15.35,1.8333,6,
打铁的顿师傅,0,1,1,1,1,0.00%,33.33%,33.33%,33.33%,33.33%,-65.5,-21.83,3.0000,3,
左拥多肉右抱亮,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,10,10.00,2.0000,1,
笑摸下家欧派,2,2,1,0,0,40.00%,40.00%,20.00%,0.00%,0.00%,90.8,18.16,1.8000,5,
偶练吉他的小酥,1,2,2,0,0,20.00%,40.00%,40.00%,0.00%,0.00%,44,8.80,2.2000,5,
teamtimo,0,1,0,2,0,0.00%,33.33%,0.00%,66.67%,0.00%,-42.5,-14.17,3.3333,3,
ホーリーナイト,2,0,0,1,1,66.67%,0.00%,0.00%,33.33%,33.33%,2.4999999999999964,0.83,2.0000,3,
電腦困难,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,13.4,13.40,2.0000,1,
西伯利亚胖狐狸,0,0,0,1,0,0.00%,0.00%,0.00%,100.00%,0.00%,-24,-24.00,4.0000,1,
熊本橘子,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,18.6,18.60,2.0000,1,
1番狂日4风连吃,1,0,0,1,0,50.00%,0.00%,0.00%,50.00%,0.00%,-13.900000000000002,-6.95,2.5000,2,
伊纸鹤,0,2,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,20.3,10.15,2.0000,2,
灯華,0,0,0,2,0,0.00%,0.00%,0.00%,100.00%,0.00%,-66.19999999999999,-33.10,4.0000,2,
一只鲁小士呀,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,32.7,32.70,1.0000,1,
牵着窝仔去旅行,0,1,1,0,0,0.00%,50.00%,50.00%,0.00%,0.00%,-2,-1.00,2.5000,2,
黎刻,0,0,1,1,0,0.00%,0.00%,50.00%,50.00%,0.00%,-39.099999999999994,-19.55,3.5000,2,
何必辞修,0,0,0,1,0,0.00%,0.00%,0.00%,100.00%,0.00%,-24.1,-24.10,4.0000,1,
南宫夏、,0,0,1,0,0,0.00%,0.00%,100.00%,0.00%,0.00%,-13.4,-13.40,3.0000,1,
卡哇伊斯的内,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,31.2,31.20,1.0000,1,
凤梨是玻璃吗,0,1,0,1,0,0.00%,50.00%,0.00%,50.00%,0.00%,-20.3,-10.15,3.0000,2,
伊莉雅QAQ,0,0,0,1,0,0.00%,0.00%,0.00%,100.00%,0.00%,-28.8,-28.80,4.0000,1,
